ticket_id,ticket_label,ticket_description,category,priority,status,software,clinic_service,created_at,created_by,updated_by,assigned_to,suggested_category,redundancy_type,master_ticket,final_priority_score
TIC-1689,Dialysis department secure wireless network allows unauthorized guest access.,"Good morning, the wifi password was leaked. Unauthorized mobile devices are consuming the digital bandwidth required for medical monitoring.",Security,High,Open,DialyWifi,Dialysis,2026-03-11 08:45:00,User_027,IT_User_07,IT_User_07,,Doublon Exact,TIC-1689,1000
TIC-0450,Cancer registry reporting software is failing to encrypt outgoing patient data files.,The secure file transfer protocol logs show data is being sent in plain text to the national registry. We have halted all reporting until this is fixed.,Security,Critical,Resolved,RegSync,Oncology,2026-02-23 23:15:00,User_071,IT_User_10,IT_User_10,,,,1000
TIC-0474,Car park security camera video feed server is completely offline and unreachable.,We have zero surveillance in the dark underground levels. This is a massive liability if an assault or theft occurs. Bring the video management server back online.,Security,High,Open,CamServer,Car park,2026-02-24 05:15:00,User_012,IT_User_07,IT_User_07,,Similarité Sémantique,TIC-0474,1000
TIC-1683,Patient home exercise video portal lacks secure HTTPS encryption.,"Hi team, the digital tutorials are streamed over plain text connections. Secure the web server to protect clinical privacy.",Security,High,Resolved,VidHTTP,Physiotherapy,2026-03-11 07:15:00,User_082,IT_User_06,IT_User_06,,Doublon Exact,TIC-1683,1000
TIC-1708,Emergency department digital whiteboard web interface lacks basic encryption.,"Hi IT, the local website uses HTTP instead of HTTPS. Anyone on the network can intercept patient data easily.",Security,Critical,Open,BoardWeb,ER,2026-03-10 12:30:00,User_088,IT_User_01,IT_User_01,,Doublon Exact,TIC-1708,1000
TIC-1698,Autopsy report secure web portal fails SSL certificate validation.,"Hi IT, the browser blocks access due to expired digital certificates. We cannot securely upload the sensitive medical findings.",Security,High,Resolved,AutoSSL,Pathology,2026-03-11 11:00:00,User_015,IT_User_05,IT_User_05,,Doublon Exact,TIC-1698,1000
TIC-0924,Picture archiving system password reset page vulnerable to exploitation.,Anyone can bypass the security questions and change another user's password using a simple web injection script.,Security,Critical,Open,PACSSecure,Radiology,2026-02-28 21:45:00,User_062,IT_User_07,IT_User_07,,,,1000
TIC-0918,Pharmacist verification portal allows unauthorized remote desktop connection attempts.,Firewall logs show external actors trying to brute force the main dispensing server over the public internet.,Security,Critical,Open,PharmVerify,Pharmacy,2026-02-28 20:15:00,User_027,IT_User_06,IT_User_06,,,,1000
TIC-1010,Rogue administrator account created on the fast track terminal.,An unknown profile with full privileges appeared overnight on the triage computer. Disable this account and investigate immediately.,Security,Critical,Open,WinAdmin,ER,2026-03-01 19:15:00,User_034,IT_User_10,IT_User_10,,,,1000
TIC-1031,Admissions clerk terminal infected with aggressive browser hijack malware.,The computer redirects all internet searches to malicious advertising sites. We must wipe the hard drive completely today.,Security,High,In Progress,AVScan,Admissions,2026-03-02 00:30:00,User_093,IT_User_01,IT_User_01,,,,1000
TIC-0883,Surgical department medication dispensing cabinet lacks a physical security camera.,"There is a complete blind spot over the narcotics vault, meaning we have no visual audit trail available.",Security,Medium,Open,CamBlind,Surgery,2026-02-28 11:30:00,User_099,IT_User_05,IT_User_05,,,,1000
TIC-0907,Electrocardiogram analysis server lacks a valid digital security certificate.,Browsers block cardiologists from reviewing urgent heart rhythms because the secure sockets layer certificate expired yesterday completely.,Security,Critical,Open,ECGServe,Cardiology,2026-02-28 17:30:00,User_055,IT_User_04,IT_User_04,,,,1000
TIC-1024,Unencrypted diagnostic images discovered residing on public shared drives.,A technician accidentally exported sensitive ultrasound videos to an open network folder. Delete the files and restrict access.,Security,Critical,Resolved,RadShare,Radiology,2026-03-01 22:45:00,User_062,IT_User_07,IT_User_07,,,,1000
TIC-1052,Infant abduction alarm system override code publicly visible nearby.,A staff member wrote the master disable pin on a sticky note attached to the monitor. Remove it.,Security,Critical,Open,AlarmPin,Pediatrics,2026-03-02 05:45:00,User_012,IT_User_03,IT_User_03,,Similarité Sémantique,TIC-1052,1000
TIC-1045,Unencrypted patient brain scans transmitted over the public internet.,The remote diagnostic software failed to establish a secure tunnel. We must enforce strict encryption for all transfers.,Security,Critical,Open,ScanEncrypt,Neurology,2026-03-02 04:00:00,User_004,IT_User_02,IT_User_02,,,,1000
TIC-1628,Radiology department guest network allows access to internal subnets.,"Hi IT, the virtual local area network isolation failed. Public users can digitally ping the highly secure imaging servers.",Security,Critical,Resolved,RadGuest,Radiology,2026-03-10 17:30:00,User_004,IT_User_05,IT_User_05,,Doublon Exact,TIC-1628,1000
TIC-1625,Narcotic vault digital access logs transmitted without any encryption.,"Dear IT, the audit trails are sent over the network in plaintext. We must enforce secure digital transmission protocols.",Security,Critical,Open,VaultLog,Pharmacy,2026-03-10 16:45:00,User_014,IT_User_10,IT_User_10,,Doublon Exact,TIC-1625,1000
TIC-1620,Surgical department secure cloud storage exposed to public internet.,"Dear team, the digital folder containing sensitive operative videos lacks password protection. Secure the cloud access permissions immediately please.",Security,Critical,Open,CloudSurg,Surgery,2026-03-10 15:30:00,User_076,IT_User_02,IT_User_02,,Doublon Exact,TIC-1620,1000
TIC-1643,Microbiology digital culture tracking application vulnerable to script injection.,"Hi team, the web portal allows malicious javascript in the notes field. Secure the application against cross site scripting.",Security,Critical,Resolved,CultureXSS,Lab,2026-03-10 21:15:00,User_008,IT_User_06,IT_User_06,,Doublon Exact,TIC-1643,1000
TIC-0465,Kitchen food ordering portal allows unauthorized staff to purchase expensive bulk ingredients.,A ward clerk accidentally ordered two hundred pounds of premium steak because the software lacks proper role-based access controls. Lock down purchasing permissions to kitchen managers only.,Security,High,Resolved,FoodOrder,Kitchen,2026-02-24 03:00:00,User_088,IT_User_02,IT_User_02,,,,1000
TIC-1658,Pediatric ward guest wireless network lacks content filtering completely.,"Hi IT, the proxy restrictions failed. Children using the clinical tablets can access highly inappropriate digital content without restriction.",Security,High,Resolved,PediGuest,Pediatrics,2026-03-11 01:00:00,User_093,IT_User_05,IT_User_05,,Doublon Exact,TIC-1658,1000
TIC-1649,Neurology department shared network folder exposes sensitive clinical trials.,"Good morning, the directory permissions were accidentally set to public. Protect this highly confidential digital research data immediately please.",Security,Critical,Open,NeuroShare,Neurology,2026-03-10 22:45:00,User_031,IT_User_07,IT_User_07,,Similarité Sémantique,TIC-1649,1000
TIC-1674,Stockroom management portal exposes user credentials to the intranet.,"Good morning, the web application lacks basic encryption. Internal users can intercept the digital passwords via basic packet sniffing.",Security,Critical,Open,StockSniff,Stock,2026-03-11 05:00:00,User_023,IT_User_08,IT_User_08,,Doublon Exact,TIC-1674,1000
TIC-1038,Unauthorized user accessed the confidential infectious disease testing database.,Audit logs show a kitchen staff account querying HIV results. This is a severe breach. Lock the account.,Security,Critical,Open,InfectDB,Lab,2026-03-02 02:15:00,User_008,IT_User_06,IT_User_06,,,,1000
TIC-1065,Unauthorized access detected on the dietary vendor ordering portal.,Someone logged in from an external IP address and attempted to modify our bulk food purchase orders maliciously.,Security,Critical,Open,VendorHack,Kitchen,2026-03-02 09:00:00,User_088,IT_User_02,IT_User_02,,,,1000
TIC-0890,Oncology secure patient portal lacks robust password complexity requirements entirely.,Users can create accounts with a simple three-letter password. This violates healthcare data protection laws completely. Enforce complexity.,Security,High,Open,PassComplex,Oncology,2026-02-28 13:15:00,User_062,IT_User_10,IT_User_10,,,,1000
TIC-1058,Guest wireless network captive portal compromised by malicious adware.,Visitors attempting to accept the terms of service are redirected to spam websites. Clean the gateway server entirely.,Security,High,Open,GuestAV,Reception,2026-03-02 07:15:00,User_019,IT_User_06,IT_User_06,,,,1000
TIC-1085,Patient entertainment tablets lack adequate internet content filtering restrictions.,The devices allow patients to access inappropriate websites during their four hour treatment sessions. We must enforce policies.,Security,Medium,Open,TabFilter,Dialysis,2026-03-02 14:00:00,User_051,IT_User_02,IT_User_02,,,,1000
TIC-1078,Patient exercise tutorial videos hosted on unsecured public servers.,"The cloud storage bucket lacks proper authentication, allowing anyone on the internet to view the private clinical recordings.",Security,High,Open,VidSecure,Physiotherapy,2026-03-02 12:15:00,User_082,IT_User_06,IT_User_06,,,,1000
TIC-1596,Pediatric playroom smart television firewall filters completely bypassed.,Dear team. The children can access inappropriate websites on the interactive screen. Lock down the network proxy settings on this device.,Network,Low,Resolved,GripDyna,Physiotherapy,2026-03-07 07:45:00,User_012,IT_User_04,IT_User_04,Security,,,1000
TIC-1092,Voice dictation audio files accessible via public network share.,Anyone connected to the hospital network can listen to highly sensitive autopsy reports. Secure the shared folder immediately.,Security,Critical,Open,DictateSec,Pathology,2026-03-02 15:45:00,User_042,IT_User_03,IT_User_03,,Similarité Sémantique,TIC-1092,1000
TIC-1114,Neurologist locked out of regional stroke patient data registry.,"Hi team, the external portal rejects my credentials completely. I cannot upload the required clinical trial statistics this afternoon.",Security,Medium,Resolved,ScanRF,Stock,2026-03-02 21:15:00,User_019,IT_User_07,IT_User_07,,,,1000
TIC-1111,Central telemetry network switch loses power every two hours.,"Hello, the vital sign monitors drop offline constantly. The localized network switch seems to have a failing power supply.",Security,Critical,In Progress,BabyTag,Pediatrics,2026-03-02 20:30:00,User_067,IT_User_01,IT_User_01,,,,1000
TIC-0849,Neurology department secure email portal compromised by a phishing attack.,A physician's account is actively sending out thousands of spam emails. We must disable their active directory profile.,Security,Critical,Resolved,EmailSpam,Neurology,2026-02-28 03:00:00,User_015,IT_User_08,IT_User_08,,,,1000
TIC-1108,Operating room guest wifi password leaked on social media.,"Greetings, someone posted our secure surgical network credentials online. We need to reset the access key immediately for safety.",Error,High,Open,SpinSafe,Lab,2026-03-02 19:45:00,User_012,IT_User_08,IT_User_08,Security,,,1000
TIC-1107,Cardiology department shared drive locked for all new fellows.,"Hi team, our newly hired fellows cannot open the research folders. They are receiving a restricted permission denial message.",Security,Critical,In Progress,IntakeWeb,Admissions,2026-03-02 19:30:00,User_055,IT_User_04,IT_User_04,,,,1000
TIC-0832,Reception lobby public computers infected with unauthorized browser extensions.,Someone installed malicious search toolbars on the visitor terminals. Wipe the machines and lock the browser settings.,Security,Medium,Open,BrowserSec,Reception,2026-02-27 22:45:00,User_034,IT_User_03,IT_User_03,,,,1000
TIC-0854,Warehouse inventory database allows unauthenticated deletion of incoming purchase orders.,Anyone on the local network can open the application and delete supply records without logging in. Secure it.,Security,Critical,Resolved,POAuth,Stock,2026-02-28 04:15:00,User_034,IT_User_07,IT_User_07,,Similarité Sémantique,TIC-0854,1000
TIC-1123,Infant incubator rolling wheels are locked and completely jammed.,"Greetings, we cannot safely transport the premature baby to the surgical wing because the wheel mechanism is totally broken.",Security,Critical,Open,MagLock,Surgery,2026-03-02 23:30:00,User_004,IT_User_05,IT_User_05,,,,1000
TIC-1120,Parking ticket barcode scanner double charges every single vehicle.,"Hello IT, the optical reader scans the paper twice instantly. It charges visitors double the actual parking fee cost.",Security,High,Open,SmartTV,Outpatient Clinic,2026-03-02 22:45:00,User_014,IT_User_10,IT_User_10,,,,1000
TIC-0820,Outpatient clinic waiting room television displays unauthorized internet content.,The smart screen bypassed our web filters and is showing inappropriate advertising. Unplug the device from ethernet.,Security,High,Open,SmartTV,Outpatient Clinic,2026-02-27 19:45:00,User_014,IT_User_10,IT_User_10,,,,1000
TIC-0814,Warehouse inventory scanners transmit data over unsecured radio frequencies.,The legacy barcode guns broadcast our supply levels without any encryption protocols. Upgrade their firmware today please.,Security,Medium,Resolved,ScanRF,Stock,2026-02-27 18:15:00,User_019,IT_User_07,IT_User_07,,Similarité Sémantique,TIC-0814,1000
TIC-0840,Outpatient clinic appointment reminder system texts the wrong phone numbers.,Confidential medical clinic visit details are being sent to completely random citizens. Stop the automated SMS gateway service.,Software,High,Open,TextSMS,Outpatient Clinic,2026-02-28 00:45:00,User_027,IT_User_10,IT_User_10,Security,,,1000
TIC-0839,Pathology department digital slide archive exposed to the internet.,The web portal displaying sensitive biopsy results is accessible without any login credentials. Take the site down now.,Security,Critical,Resolved,WebArchive,Pathology,2026-02-28 00:30:00,User_099,IT_User_08,IT_User_08,,,,1000
TIC-1162,Dialysis machine patient weight tracker resets to zero randomly.,"Hello IT, the software loses the initial baseline weight mid-treatment. We cannot accurately calculate the necessary fluid removal amounts.",Security,Critical,Open,SpoofFix,Cardiology,2026-03-03 09:15:00,User_027,IT_User_03,IT_User_03,,,,1000
TIC-1157,Front desk visitor registration computer infected with nasty adware.,"Good morning, random advertising popups are covering the medical software. The machine requires an aggressive antivirus sweep and wipe.",Network,Critical,Open,DHCPFail,Dialysis,2026-03-03 08:00:00,User_049,IT_User_09,IT_User_09,Security,,,1000
TIC-1154,Stroke assessment mobile application completely freezes on launch screen.,"Dear IT, the application hangs indefinitely. The rapid response team cannot use their tablets to score patient stroke symptoms.",Security,Critical,Resolved,POAuth,Stock,2026-03-03 07:15:00,User_034,IT_User_07,IT_User_07,,Similarité Sémantique,TIC-1154,1000
TIC-0498,Patient portal messaging system is sending replies to the wrong patient accounts.,"A doctor replied to a question about diabetes, and the message was sent to a patient asking about a sprained ankle. This is a massive privacy failure.",Security,Critical,Open,PortalChat,Outpatient Clinic,2026-02-24 11:15:00,User_034,IT_User_06,IT_User_06,,Similarité Sémantique,TIC-0498,1000
TIC-0520,Electronic prescription verification queue randomly hides incoming orders from the physicians.,We are missing urgent medication requests because they simply do not appear on the pharmacist dashboard. The database query seems to be dropping specific table entries.,Bug,High,In Progress,RxVerify,Pharmacy,2026-02-24 16:45:00,User_014,IT_User_10,IT_User_10,Security,,,1000
TIC-1566,Rogue mobile device plugged into emergency room computer.,Dear team. Antivirus flagged an unauthorized phone drawing power and attempting data transfers on a triage terminal. We have isolated it.,Bug,High,In Progress,FilterMon,ICU,2026-03-07 00:15:00,User_031,IT_User_04,IT_User_04,Security,,,1000
TIC-0823,Surgery sterile core entry doors remain permanently unlocked today.,"The magnetic locks failed open, allowing anyone to wander into the restricted sterile supply corridors without swiping.",Security,Critical,Open,MagLock,Surgery,2026-02-27 20:30:00,User_004,IT_User_05,IT_User_05,,,,1000
TIC-1194,Deep brain stimulator tuning tablet displays a fatal crash.,"Hi there, the application locked up while adjusting the implant voltage. The software needs a complete and urgent reinstall.",Security,Critical,Resolved,POAuth,Stock,2026-03-03 17:15:00,User_071,IT_User_07,IT_User_07,,,,1000
TIC-0788,Neurology stroke alert application failing to authenticate against the server.,"The mobile app on the doctors' phones is rejecting their passwords, preventing them from receiving urgent patient arrival notifications.",Security,High,Open,AppAuth,Neurology,2026-02-27 11:45:00,User_031,IT_User_06,IT_User_06,,,,1000
TIC-0785,ICU ventilator software update server communicating over unencrypted connection.,"The machines are downloading firmware patches via plain HTTP, which could allow a malicious actor to inject corrupted code.",Security,Critical,Resolved,HTTPFirm,ICU,2026-02-27 11:00:00,User_051,IT_User_02,IT_User_02,,,,1000
TIC-0782,Surgical scheduling database exposed via misconfigured internal network routing.,Staff on the guest wifi can navigate to the local IP address and see the entire daily surgery schedule.,Security,Critical,In Progress,RouteLeak,Surgery,2026-02-27 10:15:00,User_008,IT_User_03,IT_User_03,,,,1000
TIC-0811,Pediatric ward infant security bracelets unlatch without triggering alarms.,The physical clasps are defective on the new batch of tags. Babies could be moved without alerting us.,Security,Critical,In Progress,BabyTag,Pediatrics,2026-02-27 17:30:00,User_067,IT_User_01,IT_User_01,,Similarité Sémantique,TIC-0811,1000
TIC-0807,Admissions portal exposes patient social security numbers in plaintext.,The intake web form lacks masking for sensitive identification numbers. This is a severe data privacy violation.,Security,Critical,In Progress,IntakeWeb,Admissions,2026-02-27 16:30:00,User_055,IT_User_04,IT_User_04,,,,1000
TIC-1189,Pharmacist verification dashboard hides urgent stat orders from view.,"Dear IT, the sorting logic is broken. Critical intensive care medications are buried at the bottom of the queue.",Security,Critical,Resolved,EmailSpam,Neurology,2026-03-03 16:00:00,User_004,IT_User_08,IT_User_08,,,,1000
TIC-1185,Telehealth video platform transmits patient consultations without any encryption.,"Good morning, the network traffic is entirely plain text. We must enforce strict end to end security protocols immediately.",Support,Critical,Open,PowerSupply,Radiology,2026-03-03 15:00:00,User_051,IT_User_02,IT_User_02,Security,Similarité Sémantique,TIC-1185,1000
TIC-1210,Unattended nursing workstation left logged into patient charts.,"Dear IT, an unlocked computer in the hallway exposes highly sensitive trauma histories. Please enforce strict timeouts.",Security,Critical,Open,ChemoAuth,Oncology,2026-03-03 21:15:00,User_034,IT_User_10,IT_User_10,,,,1000
TIC-0772,Dietary automated ordering system communicating over unencrypted HTTP port.,The software is transmitting vendor passwords in plain text over the internet. Change the configuration to use HTTPS immediately.,Security,High,Open,HTTPClear,Kitchen,2026-02-27 07:45:00,User_071,IT_User_03,IT_User_03,,,,1000
TIC-1530,Technician generic password written publicly on whiteboard.,"Hello team. Staff are bypassing secure individual logins by sharing a single profile, completely destroying our ability to audit viewing history.",Network,High,In Progress,BadgeRead,Oncology,2026-03-06 15:15:00,User_012,IT_User_10,IT_User_10,Security,,,1000
TIC-0769,Oncology patient portal lacks multi-factor authentication for password resets.,"Patients can reset their passwords using only a birthdate, making the accounts highly vulnerable to social engineering attacks.",Security,High,Resolved,MFASetup,Oncology,2026-02-27 07:00:00,User_023,IT_User_08,IT_User_08,,,,1000
TIC-0768,Neurology telemedicine cart fails to establish a secure VPN tunnel.,The remote consultation cannot begin because the cart's encryption handshake with the firewall fails consistently. Check the keys.,Security,High,Open,VPNHand,Neurology,2026-02-27 06:45:00,User_062,IT_User_06,IT_User_06,,,,1000
TIC-0797,Maternity ward infant tracking server communicating over an unencrypted port.,The ankle bracelet locations are being transmitted across the hospital network in plain text. We must force SSL encryption immediately.,Security,Critical,Resolved,ClearPort,Maternity,2026-02-27 14:00:00,User_093,IT_User_09,IT_User_09,,,,1000
TIC-0794,Car park automated ticket machine infected with a coin mining script.,The processor in the kiosk is running at maximum capacity because a malicious script is mining cryptocurrency in the background.,Security,Medium,In Progress,CoinMiner,Car park,2026-02-27 13:15:00,User_071,IT_User_07,IT_User_07,,,,1000
TIC-0791,Reception area public announcement system accessible via default web credentials.,The amplifier control panel is on the network and still uses 'admin' as the password. Anyone could broadcast messages.,Security,High,Open,PAAdmin,Reception,2026-02-27 12:30:00,User_023,IT_User_01,IT_User_01,,,,1000
TIC-1224,Prescription label printer throws a fatal thermal head exception.,"Greetings, the machine refuses to print any barcode stickers. We cannot dispatch medications to the wards today.",Security,Critical,Resolved,PharmAPI,Pharmacy,2026-03-04 00:45:00,User_062,IT_User_07,IT_User_07,,,,1000
TIC-0754,Car park boom gate control box lacks physical tamper protection.,"The electronic control panel is unlocked, allowing anyone to manually trip the relay and open the exit gate.",Security,Medium,In Progress,BoxLock,Car park,2026-02-27 03:15:00,User_034,IT_User_07,IT_User_07,,,,1000
TIC-0753,Rogue laptop discovered plugged directly into the stockroom ethernet.,An unidentified device bypassed the wireless authentication and is hardwired into the network. Security must investigate its origin.,Security,High,Resolved,RogueNet,Stock,2026-02-27 03:00:00,User_093,IT_User_05,IT_User_05,,,,1000
TIC-0777,Maternity ward infant tracking server vulnerable to brute force login.,"The application does not lock accounts after multiple failed attempts, allowing attackers to guess passwords indefinitely. Implement rate limiting.",Security,Critical,Resolved,RateLimit,Maternity,2026-02-27 09:00:00,User_067,IT_User_09,IT_User_09,,,,1000
TIC-0774,Car park payment server fails to authenticate to the bank gateway.,"The SSL handshake with the credit card processor is failing, causing all parking exit payments to be declined immediately.",Security,Critical,In Progress,SSLBank,Car park,2026-02-27 08:15:00,User_012,IT_User_07,IT_User_07,,,,1000
TIC-0740,Echocardiogram workstation affected by a known software vulnerability patch.,The vendor released a critical security update for the imaging software that has not been deployed here yet.,Security,High,Open,EchoPatch,Cardiology,2026-02-26 23:45:00,User_027,IT_User_10,IT_User_10,,,,1000
TIC-0737,Nursery monitoring cameras accessed from an unknown external IP.,We detected a login to the infant camera system from a location outside the hospital network. Kill connections.,Security,Critical,In Progress,BabyCam,Maternity,2026-02-26 23:00:00,User_076,IT_User_09,IT_User_09,,,,1000
TIC-0765,ICU bedside monitor USB ports are not administratively disabled.,Anyone can plug a flash drive into the patient monitor and potentially inject malware into the clinical network.,Security,High,Resolved,USBLock,ICU,2026-02-27 06:00:00,User_088,IT_User_02,IT_User_02,,,,1000
TIC-0761,ER waiting room public wifi network allows access to the intranet.,"The guest network isolation failed, allowing visitors to ping internal hospital servers. This is a massive network vulnerability.",Security,Critical,Resolved,WifiIsolate,ER,2026-02-27 05:00:00,User_099,IT_User_01,IT_User_01,,,,1000
TIC-0758,Unauthorized software installed on the pathology dictation workstation computer.,A doctor bypassed security policies and installed a third-party audio editing tool. We must remove this unapproved application.,Security,Medium,In Progress,AppPolicy,Pathology,2026-02-27 04:15:00,User_019,IT_User_06,IT_User_06,,,,1000
TIC-1217,Operating room digital schedule accessible without password prompt.,"Good morning, anyone can navigate to the web address and view the patient surgery list entirely unencrypted completely.",Security,Critical,Open,DialySec,Dialysis,2026-03-03 23:00:00,User_099,IT_User_09,IT_User_09,,,,1000
TIC-1245,Hematology reporting application rounds down critical white cell counts.,"Dear IT, the software drops decimals entirely. This rounding error could mask a severe patient immune deficiency entirely.",Security,Critical,Resolved,ScanWall,Radiology,2026-03-04 06:00:00,User_004,IT_User_02,IT_User_02,,,,1000
TIC-1238,Admissions desk computer infected with a cryptocurrency mining script.,"Greetings, the fan is screaming and the processor is maxed out. Isolate and wipe this infected terminal immediately.",Security,Critical,Open,BabyPing,Maternity,2026-03-04 04:15:00,User_008,IT_User_06,IT_User_06,,,,1000
TIC-0719,Phishing email successfully compromised a clinic scheduling assistant account.,The user entered their credentials into a fake webmail portal. We need an urgent password reset and audit.,Security,Critical,Open,MailSec,Outpatient Clinic,2026-02-26 18:30:00,User_051,IT_User_08,IT_User_08,,,,1000
TIC-1495,Newborn hearing screening tablet displays a fatal hardware fault.,"Dear team, the diagnostic device crashed to a black screen. We cannot perform the mandatory tests before discharge.",Security,Critical,Open,AutopsyWeb,Pathology,2026-03-05 21:15:00,User_083,IT_User_04,IT_User_04,,,,1000
TIC-1487,Patient entertainment tablet bypassed to access restricted internal subnets.,"Hi IT, a clever patient exited the kiosk mode and is pinging hospital servers. Lock the devices down.",Security,Critical,Open,HearEncrypt,Maternity,2026-03-05 19:15:00,User_084,IT_User_07,IT_User_07,,,,1000
